,frameNumber,dateTime,lat,lon
0,1,2019-11-06 09:07:34.569,-34.593013,-58.485186
1,2,2019-11-06 09:07:34.602,-34.593013,-58.485186
2,3,2019-11-06 09:07:34.636,-34.593013,-58.485186
3,4,2019-11-06 09:07:34.669,-34.593013,-58.485185
4,5,2019-11-06 09:07:34.702,-34.593013,-58.485185
5,6,2019-11-06 09:07:34.736,-34.593013,-58.485185
6,7,2019-11-06 09:07:34.769,-34.593013,-58.485185
7,8,2019-11-06 09:07:34.802,-34.593013,-58.485185
8,9,2019-11-06 09:07:34.836,-34.593013,-58.485185
9,10,2019-11-06 09:07:34.869,-34.593013,-58.485185
10,11,2019-11-06 09:07:34.903,-34.593013,-58.485185
11,12,2019-11-06 09:07:34.936,-34.593013,-58.485185
12,13,2019-11-06 09:07:34.969,-34.593013,-58.485185
13,14,2019-11-06 09:07:35.003,-34.593013,-58.485185
14,15,2019-11-06 09:07:35.036,-34.593013,-58.485185
15,16,2019-11-06 09:07:35.069,-34.593013,-58.485184
16,17,2019-11-06 09:07:35.103,-34.593013,-58.485184
17,18,2019-11-06 09:07:35.136,-34.593013,-58.485184
18,19,2019-11-06 09:07:35.169,-34.593013,-58.485184
19,20,2019-11-06 09:07:35.203,-34.593013,-58.485184
20,21,2019-11-06 09:07:35.236,-34.593013,-58.485184
21,22,2019-11-06 09:07:35.270,-34.593013,-58.485184
22,23,2019-11-06 09:07:35.303,-34.593013,-58.485184
23,24,2019-11-06 09:07:35.336,-34.593013,-58.485184
24,25,2019-11-06 09:07:35.370,-34.593014,-58.485184
25,26,2019-11-06 09:07:35.403,-34.593014,-58.485184
26,27,2019-11-06 09:07:35.436,-34.593014,-58.485184
27,28,2019-11-06 09:07:35.470,-34.593014,-58.485184
28,29,2019-11-06 09:07:35.503,-34.593014,-58.485184
29,30,2019-11-06 09:07:35.536,-34.593014,-58.485184
30,31,2019-11-06 09:07:35.570,-34.593014,-58.485184
31,32,2019-11-06 09:07:35.603,-34.593014,-58.485184
32,33,2019-11-06 09:07:35.637,-34.593014,-58.485184
33,34,2019-11-06 09:07:35.670,-34.593014,-58.485184
34,35,2019-11-06 09:07:35.703,-34.593014,-58.485184
35,36,2019-11-06 09:07:35.737,-34.593014,-58.485184
36,37,2019-11-06 09:07:35.770,-34.593014,-58.485184
37,38,2019-11-06 09:07:35.803,-34.593014,-58.485184
38,39,2019-11-06 09:07:35.837,-34.593014,-58.485184
39,40,2019-11-06 09:07:35.870,-34.593014,-58.485184
40,41,2019-11-06 09:07:35.904,-34.593014,-58.485184
41,42,2019-11-06 09:07:35.937,-34.593014,-58.485184
42,43,2019-11-06 09:07:35.970,-34.593014,-58.485184
43,44,2019-11-06 09:07:36.004,-34.593014,-58.485184
44,45,2019-11-06 09:07:36.037,-34.593014,-58.485184
45,46,2019-11-06 09:07:36.070,-34.593014,-58.485184
46,47,2019-11-06 09:07:36.104,-34.593014,-58.485184
47,48,2019-11-06 09:07:36.137,-34.593014,-58.485184
48,49,2019-11-06 09:07:36.170,-34.593014,-58.485184
49,50,2019-11-06 09:07:36.204,-34.593014,-58.485184
50,51,2019-11-06 09:07:36.237,-34.593014,-58.485184
51,52,2019-11-06 09:07:36.271,-34.593014,-58.485184
52,53,2019-11-06 09:07:36.304,-34.593014,-58.485184
53,54,2019-11-06 09:07:36.337,-34.593014,-58.485184
54,55,2019-11-06 09:07:36.371,-34.593014,-58.485184
55,56,2019-11-06 09:07:36.404,-34.593014,-58.485184
56,57,2019-11-06 09:07:36.437,-34.593014,-58.485184
57,58,2019-11-06 09:07:36.471,-34.593014,-58.485185
58,59,2019-11-06 09:07:36.504,-34.593014,-58.485185
59,60,2019-11-06 09:07:36.537,-34.593014,-58.485185
60,61,2019-11-06 09:07:36.571,-34.593014,-58.485185
61,62,2019-11-06 09:07:36.604,-34.593014,-58.485185
62,63,2019-11-06 09:07:36.638,-34.593014,-58.485185
63,64,2019-11-06 09:07:36.671,-34.593014,-58.485185
64,65,2019-11-06 09:07:36.704,-34.593014,-58.485185
65,66,2019-11-06 09:07:36.738,-34.593014,-58.485185
66,67,2019-11-06 09:07:36.771,-34.593014,-58.485185
67,68,2019-11-06 09:07:36.804,-34.593014,-58.485185
68,69,2019-11-06 09:07:36.838,-34.593014,-58.485185
69,70,2019-11-06 09:07:36.871,-34.593014,-58.485185
70,71,2019-11-06 09:07:36.905,-34.593014,-58.485185
71,72,2019-11-06 09:07:36.938,-34.593014,-58.485185
72,73,2019-11-06 09:07:36.971,-34.593014,-58.485184
73,74,2019-11-06 09:07:37.005,-34.593014,-58.485184
74,75,2019-11-06 09:07:37.038,-34.593014,-58.485184
75,76,2019-11-06 09:07:37.071,-34.593014,-58.485184
76,77,2019-11-06 09:07:37.105,-34.593014,-58.485184
77,78,2019-11-06 09:07:37.138,-34.593014,-58.485184
78,79,2019-11-06 09:07:37.171,-34.593014,-58.485184
79,80,2019-11-06 09:07:37.205,-34.593014,-58.485184
80,81,2019-11-06 09:07:37.238,-34.593014,-58.485184
81,82,2019-11-06 09:07:37.272,-34.593014,-58.485183
82,83,2019-11-06 09:07:37.305,-34.593014,-58.485183
83,84,2019-11-06 09:07:37.338,-34.593014,-58.485183
84,85,2019-11-06 09:07:37.372,-34.593014,-58.485183
85,86,2019-11-06 09:07:37.405,-34.593014,-58.485183
86,87,2019-11-06 09:07:37.438,-34.593014,-58.485183
87,88,2019-11-06 09:07:37.472,-34.593014,-58.485182
88,89,2019-11-06 09:07:37.505,-34.593014,-58.485182
89,90,2019-11-06 09:07:37.538,-34.593014,-58.485182
90,91,2019-11-06 09:07:37.572,-34.593014,-58.485182
91,92,2019-11-06 09:07:37.605,-34.593014,-58.485182
92,93,2019-11-06 09:07:37.639,-34.593014,-58.485182
93,94,2019-11-06 09:07:37.672,-34.593014,-58.485181
94,95,2019-11-06 09:07:37.705,-34.593014,-58.485181
95,96,2019-11-06 09:07:37.739,-34.593014,-58.485181
96,97,2019-11-06 09:07:37.772,-34.593014,-58.48518
97,98,2019-11-06 09:07:37.805,-34.593014,-58.48518
98,99,2019-11-06 09:07:37.839,-34.593014,-58.48518
99,100,2019-11-06 09:07:37.872,-34.593014,-58.485179
100,101,2019-11-06 09:07:37.906,-34.593014,-58.485179
101,102,2019-11-06 09:07:37.939,-34.593014,-58.485179
102,103,2019-11-06 09:07:37.972,-34.593014,-58.485178
103,104,2019-11-06 09:07:38.006,-34.593014,-58.485178
104,105,2019-11-06 09:07:38.039,-34.593014,-58.485178
105,106,2019-11-06 09:07:38.072,-34.593014,-58.485177
106,107,2019-11-06 09:07:38.106,-34.593014,-58.485177
107,108,2019-11-06 09:07:38.139,-34.593014,-58.485177
108,109,2019-11-06 09:07:38.172,-34.593014,-58.485176
109,110,2019-11-06 09:07:38.206,-34.593014,-58.485176
110,111,2019-11-06 09:07:38.239,-34.593014,-58.485176
111,112,2019-11-06 09:07:38.273,-34.593014,-58.485174
112,113,2019-11-06 09:07:38.306,-34.593014,-58.485174
113,114,2019-11-06 09:07:38.339,-34.593014,-58.485174
114,115,2019-11-06 09:07:38.373,-34.593014,-58.485173
115,116,2019-11-06 09:07:38.406,-34.593014,-58.485173
116,117,2019-11-06 09:07:38.439,-34.593014,-58.485173
117,118,2019-11-06 09:07:38.473,-34.593014,-58.485173
118,119,2019-11-06 09:07:38.506,-34.593014,-58.485173
119,120,2019-11-06 09:07:38.539,-34.593014,-58.485173
120,121,2019-11-06 09:07:38.573,-34.593014,-58.485172
121,122,2019-11-06 09:07:38.606,-34.593014,-58.485172
122,123,2019-11-06 09:07:38.640,-34.593014,-58.485172
123,124,2019-11-06 09:07:38.673,-34.593014,-58.485172
124,125,2019-11-06 09:07:38.706,-34.593014,-58.485172
125,126,2019-11-06 09:07:38.740,-34.593014,-58.485172
126,127,2019-11-06 09:07:38.773,-34.593014,-58.485171
127,128,2019-11-06 09:07:38.806,-34.593014,-58.485171
